  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,        0
      50,        0,        0,        0,        0,        0,        0
      70,        0,        0,        0,        0,        0,        0
      90,        0,        0,        0,        0,        0,        0
     110,        0,        0,        0,        0,        0,        0
     130,        0,        0,        0,        0,        0,        0
     150,        0,        0,        0,        0,        0,        0
     170,        0,        0,        0,        0,        0,        0
     190,        0,        0,        0,        0,        0,        0
     210,        0,        0,        0,        0,        0,        0
     230,        0,        0,        0,        0,        0,        0
     250,        0,        0,        0,        0,        0,        0
     270,        0,        0,        0,        0,        0,        0
     290,        0,        0,        0,        0,        0,        0
     310,        0,        0,        0,        0,        0,        0
     330,        0,        0,        0,        0,        0,        0
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        0
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,    54272,        0,    89373,        0,        0
     450,       53,    54272,        0,    89373,       57,        0
     470,      106,    54272,        0,    89373,      113,        0
     490,      159,    54272,        0,    89373,      171,        0
     510,      212,    54272,        0,    89373,      227,        0
     530,      265,    54272,        0,    89372,      284,        0
     550,      318,    54272,        0,    89372,      340,        0
     570,      371,    54272,        0,    89372,      398,        0
     590,      424,    54272,        0,    89372,      454,        0
     610,      477,    54272,        0,    89372,      511,        0
     630,      530,    54272,        0,    89371,      567,        0
     650,      583,    54272,        0,    89371,      625,        0
     670,      636,    54272,        0,    89370,      681,        0
     690,      689,    54272,        0,    89370,      738,        0
     710,      742,    54272,        0,    89370,      795,        0
     730,      795,    54272,        0,    89369,      852,        0
     750,      848,    54272,        0,    89368,      908,        0
     770,      901,    54272,        0,    89368,      965,        0
     790,      954,    54272,        0,    89367,     1022,        0
     810,     1007,    54272,        0,    89367,     1079,        0
     830,     1060,    54272,        0,    89366,     1135,        0
     850,     1113,    54272,        0,    89365,     1192,        0
     870,     1166,    54272,        0,    89364,     1248,        0
     890,     1219,    54272,        0,    89364,     1306,        0
     910,     1272,    54272,        0,    89363,     1362,        0
     930,     1325,    54272,        0,    89362,     1419,        0
     950,     1378,    54272,        0,    89361,     1476,        0
     970,     1431,    54272,        0,    89360,     1533,        0
     990,     1484,    54272,        0,    89359,     1589,        0
    1010,     1537,    54272,        0,    89358,     1647,        0
    1030,     1590,    54272,        0,    89357,     1703,        0
    1050,     1643,    54272,        0,    89356,     1760,        0
    1070,     1696,    54272,        0,    89354,     1817,        0
    1090,     1749,    54272,        0,    89353,     1873,        0
    1110,     1802,    54272,        0,    89352,     1930,        0
    1130,     1855,    54272,        0,    89351,     1987,        0
    1150,     1908,    54272,        0,    89350,     2043,        0
    1170,     1961,    54272,        0,    89348,     2101,        0
    1190,     2014,    54272,        0,    89347,     2157,        0
    1210,     2067,    54272,        0,    89346,     2214,        0
    1230,     2120,    54272,        0,    89344,     2270,        0
    1250,     2173,    54272,        0,    89343,     2328,        0
    1270,     2226,    54272,        0,    89341,     2384,        0
    1290,     2279,    54272,        0,    89340,     2441,        0
    1310,     2332,    54272,        0,    89338,     2497,        0
    1330,     2385,    54272,        0,    89336,     2554,        0
    1350,     2438,    54272,        0,    89335,     2611,        0
    1370,     2491,    54272,        0,    89333,     2668,        0
    1390,     2544,    54272,        0,    89331,     2725,        0
    1410,     2597,    54272,        0,    89330,     2782,        0
    1430,     2650,    54272,        0,    89328,     2838,        0
    1450,     2703,    54272,        0,    89326,     2894,        0
    1470,     2756,    54272,        0,    89324,     2951,        0
    1490,     2809,    54272,        0,    89322,     3008,        0
    1510,     2862,    54272,        0,    89320,     3065,        0
    1530,     2915,    54272,        0,    89318,     3122,        0
    1550,     2968,    54272,        0,    89317,     3178,        0
